date,/m/0k_9,isPartial
2020-12-27,46,False
2021-01-03,67,False
2021-01-10,100,False
2021-01-17,46,False
2021-01-24,41,False
2021-01-31,64,False
2021-02-07,0,False
2021-02-14,56,False
2021-02-21,58,False
2021-02-28,82,False
2021-03-07,69,False
2021-03-14,41,False
2021-03-21,85,False
2021-03-28,70,False
2021-04-04,41,False
2021-04-11,0,False
2021-04-18,86,False
2021-04-25,48,False
2021-05-02,52,False
2021-05-09,77,False
2021-05-16,60,False
2021-05-23,77,False
2021-05-30,69,False
2021-06-06,69,False
2021-06-13,53,False
2021-06-20,48,False
2021-06-27,41,False
2021-07-04,48,False
2021-07-11,50,False
2021-07-18,57,False
2021-07-25,72,False
2021-08-01,40,False
2021-08-08,77,False
2021-08-15,0,False
2021-08-22,74,False
2021-08-29,70,False
2021-09-05,60,False
2021-09-12,58,False
2021-09-19,97,False
2021-09-26,83,False
2021-10-03,77,False
2021-10-10,90,False
2021-10-17,55,False
2021-10-24,0,False
2021-10-31,45,False
2021-11-07,63,False
2021-11-14,72,False
2021-11-21,47,False
2021-11-28,58,False
2021-12-05,55,False
2021-12-12,60,False
2021-12-19,85,False
2021-12-26,0,False
